average error,precision,recal,a,s,m
0.03155692926847129,0.5738045738045738,0.971830985915493,0.0006000000000000001,lbfgs,300
0.031663226695914565,0.5733634311512416,0.8943661971830986,0.0006000000000000001,lbfgs,350
5501992152068.665,0,0,0.0006000000000000001,sgd,100
33925783159772.203,0,0,0.0006000000000000001,sgd,150
0.5430195519406676,0.568904593639576,0.5669014084507042,0.0006000000000000001,sgd,200
128981154676049.48,0,0,0.0006000000000000001,sgd,250
9964510390948.457,0,0,0.0006000000000000001,sgd,300
2.6534171497615172e+45,0.5691382765531062,1.0,0.0006000000000000001,sgd,350
0.03579008184433491,0.5283018867924528,0.09859154929577464,0.0006000000000000001,adam,100
0.03774655056325802,0.5728744939271255,0.9964788732394366,0.0006000000000000001,adam,150
0.034999856638011334,0.5769230769230769,0.9507042253521126,0.0006000000000000001,adam,200
0.0398000040079856,0.5688259109311741,0.9894366197183099,0.0006000000000000001,adam,250
0.03658224203084574,0.47368421052631576,0.03169014084507042,0.0006000000000000001,adam,300
0.03718565302902694,0.5,0.028169014084507043,0.0006000000000000001,adam,350
0.03148734380047848,0.5824634655532359,0.9823943661971831,0.0007000000000000001,lbfgs,100
0.031424046368316916,0.5751633986928104,0.9295774647887324,0.0007000000000000001,lbfgs,150
0.0316505244673739,0.5714285714285714,0.9577464788732394,0.0007000000000000001,lbfgs,200
0.03190152882990866,0.5668789808917197,0.9401408450704225,0.0007000000000000001,lbfgs,250
0.03216878488500373,0.567741935483871,0.9295774647887324,0.0007000000000000001,lbfgs,300
0.031544797856772486,0.5762004175365344,0.971830985915493,0.0007000000000000001,lbfgs,350
nan,0,0,0.0007000000000000001,sgd,100
398.62199944804195,0,0,0.0007000000000000001,sgd,150
87104893381.04515,0,0,0.0007000000000000001,sgd,200
2.540452070610526e+40,0,0,0.0007000000000000001,sgd,250
1.3029733564095052e+23,0,0,0.0007000000000000001,sgd,300
20478696650.57153,0,0,0.0007000000000000001,sgd,350
0.03486451788655255,0.5688073394495413,0.8732394366197183,0.0007000000000000001,adam,100
0.03392568247273139,0.5337837837837838,0.27816901408450706,0.0007000000000000001,adam,150
0.03432974046141663,0.5409836065573771,0.3485915492957746,0.0007000000000000001,adam,200
0.04804695050666544,0.570281124497992,1.0,0.0007000000000000001,adam,250
0.03759454485642687,0.5723140495867769,0.9753521126760564,0.0007000000000000001,adam,300
0.034191454046587584,0.5720524017467249,0.9225352112676056,0.0007000000000000001,adam,350
0.03164092870047844,0.5695067264573991,0.8943661971830986,0.0008,lbfgs,100
0.03143876705659147,0.576017130620985,0.9471830985915493,0.0008,lbfgs,150
0.03153669536525458,0.5738045738045738,0.971830985915493,0.0008,lbfgs,200
0.03160216582175397,0.5739130434782609,0.9295774647887324,0.0008,lbfgs,250
0.03153765722726285,0.575,0.971830985915493,0.0008,lbfgs,300
0.03164974358865775,0.5748373101952278,0.9330985915492958,0.0008,lbfgs,350
nan,0,0,0.0008,sgd,100
1.8215978919136374e+85,0.5691382765531062,1.0,0.0008,sgd,150
3.6368230819593066e+49,0.5691382765531062,1.0,0.0008,sgd,200
0.5426025921655271,0.568904593639576,0.5669014084507042,0.0008,sgd,250
143687039.20803854,0,0,0.0008,sgd,300
2.1319529448392885e+86,0.5691382765531062,1.0,0.0008,sgd,350
0.03449723563200405,0.5720338983050848,0.9507042253521126,0.0008,adam,100
0.033435381520932,0.568019093078759,0.8380281690140845,0.0008,adam,150
0.03614050943631843,0.5294117647058824,0.19014084507042253,0.0008,adam,200
0.0331904465494961,0.5623471882640587,0.8098591549295775,0.0008,adam,250
0.04334759612592796,1.0,0.007042253521126761,0.0008,adam,300
0.035131498240887814,0.4727272727272727,0.09154929577464789,0.0008,adam,350
0.03153794576629378,0.5738045738045738,0.971830985915493,0.0009000000000000001,lbfgs,100
0.03175811416146159,0.5739910313901345,0.9014084507042254,0.0009000000000000001,lbfgs,150
0.03151098352067652,0.5794979079497908,0.9753521126760564,0.0009000000000000001,lbfgs,200
0.03162440459845145,0.5739130434782609,0.9295774647887324,0.0009000000000000001,lbfgs,250
0.03165895303798595,0.5781584582441114,0.9507042253521126,0.0009000000000000001,lbfgs,300
0.03204518925796057,0.5711060948081265,0.8908450704225352,0.0009000000000000001,lbfgs,350
32044671854255.723,0,0,0.0009000000000000001,sgd,100
4.0923925333132206e+65,0.5691382765531062,1.0,0.0009000000000000001,sgd,150
1.2097298963628179e+69,0.5691382765531062,1.0,0.0009000000000000001,sgd,200
0.5427305240542742,0.568904593639576,0.5669014084507042,0.0009000000000000001,sgd,250
0.5426988715156157,0.568904593639576,0.5669014084507042,0.0009000000000000001,sgd,300
13548144065141.762,0,0,0.0009000000000000001,sgd,350
0.03836337495423691,0.5423728813559322,0.11267605633802817,0.0009000000000000001,adam,100
0.036877350329634816,0.5151515151515151,0.11971830985915492,0.0009000000000000001,adam,150
0.04023151691375875,0.570281124497992,1.0,0.0009000000000000001,adam,200
0.035419013930169295,0.5121951219512195,0.14788732394366197,0.0009000000000000001,adam,250
0.033950160432440375,0.5555555555555556,0.36971830985915494,0.0009000000000000001,adam,300
0.03790035858201203,0.5705645161290323,0.9964788732394366,0.0009000000000000001,adam,350
