average error,precision,recal,a,s,m
0.031537754501224306,0.575,0.971830985915493,0.0001,lbfgs,100
0.03167251493290167,0.5685393258426966,0.8908450704225352,0.0001,lbfgs,150
0.03149869146091612,0.5759493670886076,0.9612676056338029,0.0001,lbfgs,200
0.03161791621957842,0.5729847494553377,0.926056338028169,0.0001,lbfgs,250
0.03160314260875992,0.5714285714285714,0.971830985915493,0.0001,lbfgs,300
0.03168505481469169,0.5746102449888641,0.9084507042253521,0.0001,lbfgs,350
3.0013544984823775e+74,0.5691382765531062,1.0,0.0001,sgd,100
21.962059665301748,0,0,0.0001,sgd,150
1.8622069690591324e+84,0.5691382765531062,1.0,0.0001,sgd,200
2.25520342845841e+58,0.5691382765531062,1.0,0.0001,sgd,250
1996391590947.0103,0,0,0.0001,sgd,300
2042635849448.2659,0,0,0.0001,sgd,350
0.033989574317371915,0.5635491606714629,0.8274647887323944,0.0001,adam,100
0.039136880475725215,0.5705645161290323,0.9964788732394366,0.0001,adam,150
0.037936249022431257,0.5555555555555556,0.035211267605633804,0.0001,adam,200
0.040055731902097456,0.5714285714285714,1.0,0.0001,adam,250
0.038886169483041196,0.5685483870967742,0.9929577464788732,0.0001,adam,300
0.042777448386324156,0.570281124497992,1.0,0.0001,adam,350
0.03152777316630682,0.575,0.971830985915493,0.0002,lbfgs,100
0.03159540927922494,0.5686274509803921,0.9190140845070423,0.0002,lbfgs,150
0.03153677387079807,0.5738045738045738,0.971830985915493,0.0002,lbfgs,200
0.03153773094861244,0.575,0.971830985915493,0.0002,lbfgs,250
0.03207629962889174,0.5678160919540229,0.8697183098591549,0.0002,lbfgs,300
0.03151312922668751,0.5756302521008403,0.9647887323943662,0.0002,lbfgs,350
1.7087673671113315e+63,0.5691382765531062,1.0,0.0002,sgd,100
380823720.04497457,0,0,0.0002,sgd,150
6239409528.248453,0,0,0.0002,sgd,200
2386872307819.125,0,0,0.0002,sgd,250
581065688328.8055,0,0,0.0002,sgd,300
3591759772.799829,0,0,0.0002,sgd,350
0.04347657506317688,0.5691382765531062,1.0,0.0002,adam,100
0.0391173825946031,0.6666666666666666,0.028169014084507043,0.0002,adam,150
0.03951239239086125,0.5714285714285714,1.0,0.0002,adam,200
0.034208636294715516,0.5508982035928144,0.323943661971831,0.0002,adam,250
0.03633544442485607,0.5741525423728814,0.954225352112676,0.0002,adam,300
0.03359344713224162,0.5416666666666666,0.5492957746478874,0.0002,adam,350
0.03141000588939766,0.5780590717299579,0.9647887323943662,0.00030000000000000003,lbfgs,100
0.031653588122537706,0.5781584582441114,0.9507042253521126,0.00030000000000000003,lbfgs,150
0.031719962780890364,0.5771812080536913,0.9084507042253521,0.00030000000000000003,lbfgs,200
0.03193486841303632,0.5636363636363636,0.8732394366197183,0.00030000000000000003,lbfgs,250
0.031489874405781736,0.5770833333333333,0.9753521126760564,0.00030000000000000003,lbfgs,300
0.03153630687113333,0.5738045738045738,0.971830985915493,0.00030000000000000003,lbfgs,350
1.2615554420193517e+77,0.5691382765531062,1.0,0.00030000000000000003,sgd,100
39004372609.21171,0,0,0.00030000000000000003,sgd,150
16195669443.927277,0,0,0.00030000000000000003,sgd,200
2.6794768233866357e+88,0.5691382765531062,1.0,0.00030000000000000003,sgd,250
